tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Projetada 2,7,Paciencia,23573340,-22.911278,-43.656895
Rua,Projetada 2,5,Paciencia,23573340,-22.911204,-43.656768
Rua,Projetada 2,3,Paciencia,23573340,-22.911182,-43.656749
Rua,Alcides Teixeira,230,Bangu,21863380,-22.849412,-43.465520
Rua,Alcides Teixeira,240,Bangu,21863380,-22.849381,-43.465597
Rua,Juvenal Galeno,109,Ramos,21060060,-22.852498,-43.266604
Rua,Juvenal Galeno,91,Ramos,21060060,-22.852194,-43.266544
Rua,Juvenal Galeno,107,Ramos,21060060,-22.852498,-43.266537
Rua,Afonso de Carvalho,76,Vila do Ceu,23060550,-22.909151,-43.605561
Rua,Guararema,87,Oswaldo Cruz,21550170,-22.862386,-43.351501
Vila,Amizade,14,Costa Barros,21515540,-22.825431,-43.363867
Rua,Moises Borges,7,Tijuca,20260330,-22.926049,-43.219970
Rua,Moises Borges,23,Tijuca,20260330,-22.926102,-43.219798
Rua,Moises Borges,10,Tijuca,20260330,-22.926080,-43.219931
Rua,Moises Borges,13,Tijuca,20260330,-22.926271,-43.219894
Rua,Moises Borges,2,Tijuca,20260330,-22.926953,-43.219899
Rua,Moises Borges,8,Tijuca,20260330,-22.926186,-43.220174
Rua,Moises Borges,32,Tijuca,20260330,-22.926178,-43.220029
Rua,Castorina,5,Tijuca,20260260,-22.926850,-43.219691
Rua,Senador Muniz Freire,51,Vila Isabel,20541040,-22.921332,-43.240912
Rua,Senador Muniz Freire,17,Vila Isabel,20541040,-22.921038,-43.240175
Rua,Senador Muniz Freire,9,Vila Isabel,20541040,-22.920865,-43.239973
Rua,Afonso Ribeiro,238,Penha,21021000,-22.839615,-43.272078
Rua,Afonso Ribeiro,264,Penha,21021000,-22.839454,-43.271960
Rua,Afonso Ribeiro,304,Penha,21021000,-22.839122,-43.271708
Rua,Afonso Ribeiro,314,Penha,21021000,-22.839009,-43.271662
Travessa,Independente,794,Anchieta,21011726,-22.821645,-43.413474
Rua,Homero,8,Rocha Miranda,21510160,-22.844063,-43.345071
Rua,Homero,48,Rocha Miranda,21510160,-22.843721,-43.345103
Rua,Luis Barbalho,187,Rocha Miranda,21510110,-22.844632,-43.347192
Rua,Irapua,545,Penha Circular,21215060,-22.837862,-43.301260
Rua,Irapua,541,Penha Circular,21215060,-22.837862,-43.301191
Rua,Irapua,539,Penha Circular,21215060,-22.837903,-43.301046
Rua,Irapua,527,Penha Circular,21215060,-22.837897,-43.300828
Rua,Das Amendoeiras,155,Cosmos,23056620,-22.918079,-43.615467
Rua,Das Amendoeiras,95,Cosmos,23056620,-22.916947,-43.615366
Rua,Bento Goncalves,168,Engenho de Dentro,20755310,-22.894013,-43.297082
Rua,Leopoldino Bastos,96,Engenho Novo,20715200,-22.913595,-43.266383
Rua,Teofilo Guimaraes,140,Jardim Sulacap,21741040,-22.890124,-43.388168
Rua,Teofilo Guimaraes,80,Jardim Sulacap,21741040,-22.890226,-43.387492
Rua,Teofilo Guimaraes,92,Jardim Sulacap,21741040,-22.890235,-43.387702
Rua,Lidia Alves,67,Guaratiba,23032202,-22.982609,-43.647527
Rua,Doutor Antonio Martins,28,Taquara,22723650,-22.905934,-43.420196
Rua,Mirassol,269,Campo Grande,23087010,-22.893138,-43.563140
Rua,Ari Leao,108,Complexo da Mare,21040005,-22.849967,-43.242724
Rua,Larga,85,Complexo da Mare,21044420,-22.849650,-43.241449
Rua,Larga,79,Complexo da Mare,21044420,-22.849441,-43.240444
Rua,Do Couto,100,Penha,21020410,-22.838629,-43.274754
Rua,Do Couto,64,Penha,21020410,-22.839321,-43.275194
Rua,Do Couto,62,Penha,21020410,-22.839435,-43.275129
Rua,Do Couto,40,Penha,21020410,-22.839897,-43.275236
Rua,Do Couto,58,Penha,21020410,-22.839536,-43.275034
Rua,Jose Francisco Alves,32,Sepetiba,23540120,-22.973506,-43.696795
Rua,Jose Francisco Alves,44,Sepetiba,23540120,-22.973258,-43.696365
Rua,Tres Aliancas,2,Bangu,21842195,-22.866175,-43.472390
Rua,Barcelos Domingos,33,Campo Grande,23080020,-22.901028,-43.559377
Rua,Barcelos Domingos,31,Campo Grande,23080020,-22.901023,-43.559212
